iter	Passed	Remaining
0	1	105
1	1	95
2	2	92
3	3	89
4	4	87
5	5	86
6	6	84
7	7	83
8	8	82
9	8	79
10	9	77
11	10	76
12	11	74
13	11	73
14	12	72
15	13	71
16	14	70
17	15	68
18	15	67
19	16	65
20	17	64
21	17	62
22	18	61
23	19	60
24	19	59
25	20	57
26	20	56
27	21	55
28	22	54
29	22	53
30	23	52
31	23	50
32	24	49
33	25	48
34	25	47
35	26	46
36	27	45
37	27	45
38	28	44
39	28	43
40	29	42
41	30	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	33	36
48	34	35
49	35	35
50	35	34
51	36	33
52	37	32
53	37	32
54	38	31
55	39	30
56	39	30
57	40	29
58	41	29
59	42	28
60	43	27
61	44	26
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	56	13
81	57	12
82	58	11
83	59	11
84	59	10
85	60	9
86	61	9
87	61	8
88	62	7
89	63	7
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	68	2
97	68	1
98	69	0
99	70	0
